STATE,LANDAREA
Alabama,131171
Alaska,1477953
Arizona,294207
Arkansas,134771
California,403466
Colorado,268431
Connecticut,12542
Delaware,5047
District of Columbia,158
Florida,138887
Georgia,148959
Hawaii,16635
Idaho,214045
Illinois,143793
Indiana,92789
Iowa,144669
Kansas,211754
Kentucky,102269
Louisiana,111898
Maine,79883
Maryland,25142
Massachusetts,20202
Michigan,146435
Minnesota,206232
Mississippi,121531
Missouri,178040
Montana,376962
Nebraska,198974
Nevada,284332
New Hampshire,23187
New Jersey,19047
New Mexico,314161
New York,122057
North Carolina,125920
North Dakota,178711
Ohio,105829
Oklahoma,177660
Oregon,248608
Pennsylvania,115883
Rhode Island,2678
South Carolina,77857
South Dakota,196350
Tennessee,106798
Texas,676587
Utah,212818
Vermont,23871
Virginia,102279
Washington,172119
West Virginia,62259
Wisconsin,140268
Wyoming,251470
Puerto Rico,8868
Island Areas:5,1562
American Samoa,198
Guam,543
Northern Mariana Islands,472
U.S. Virgin Islands,348
